Found fit 1823 at [0, 0]
Found fit 3917 at [6, -9]
Found fit 1931 at [6, -8]
Found fit 3037 at [6, -7]
Found fit 3793 at [6, -6]
Found fit 2447 at [6, -5]
Found fit 1613 at [6, -4]
Found fit 3709 at [6, -3]
Found fit 3167 at [6, -2]
Found fit 2647 at [6, -1]
Found fit 1801 at [5, -1]
Found fit 1483 at [5, -2]
Found fit 2503 at [5, -3]
Found fit 1997 at [5, -4]
Found fit 3433 at [5, -5]
Found fit 1609 at [5, -6]
Found fit 1583 at [5, -7]
Found fit 1187 at [5, -8]
Found fit 2111 at [5, -9]
Found fit 3457 at [5, -10]
Found fit 1889 at [5, -11]
Found fit 2713 at [4, -11]
Found fit 1021 at [4, -10]
Found fit 1847 at [4, -9]
Found fit 3593 at [4, -8]
Found fit 3931 at [4, -7]
Found fit 1109 at [4, -6]
Found fit 1163 at [4, -5]
Found fit 3163 at [4, -4]
Found fit 3821 at [4, -3]
Found fit 2927 at [4, -2]
Found fit 2671 at [4, -1]
Found fit 3061 at [3, -1]
Found fit 2687 at [3, -2]
Found fit 2531 at [3, -3]
Found fit 3251 at [3, -4]
Found fit 3733 at [3, -5]
Found fit 1409 at [3, -6]
Found fit 2027 at [3, -7]
Found fit 2707 at [3, -8]
Found fit 1231 at [3, -9]
Found fit 3673 at [3, -10]
Found fit 2861 at [3, -11]
Found fit 1307 at [2, -11]
Found fit 1277 at [2, -10]
Found fit 2131 at [2, -9]
Found fit 1723 at [2, -8]
Found fit 1627 at [2, -7]
Found fit 1129 at [2, -6]
Found fit 3307 at [2, -5]
Found fit 3529 at [2, -4]
Found fit 3089 at [2, -3]
Found fit 1549 at [2, -2]
Found fit 3643 at [2, -1]
Found fit 2423 at [1, -1]
Found fit 2083 at [1, -2]
Found fit 3659 at [1, -3]
Found fit 1601 at [1, -4]
Found fit 1481 at [1, -5]
Found fit 1321 at [1, -6]
Found fit 3499 at [1, -7]
Found fit 2351 at [1, -8]
Found fit 2819 at [1, -9]
Found fit 3187 at [1, -10]
Found fit 1031 at [1, -11]
Found fit 3571 at [0, -11]
Found fit 3823 at [0, -10]
Found fit 2311 at [0, -9]
Found fit 1747 at [0, -8]
Found fit 1787 at [0, -7]
Found fit 2957 at [0, -6]
Found fit 3677 at [0, -5]
Found fit 2473 at [0, -4]
Found fit 2609 at [0, -3]
Found fit 2339 at [0, -2]
Found fit 3221 at [0, -1]
Part 1 answer:
29293767579581
Search for sea monster in:
#..##.#.##....##.#.....#..#......##...#.....##.....#.#...#....##......##.##..........#.#........
...........#...#...........#..##....#....#.....#.......##...##.....#.............#..##....#...#.
#........#.#.............#..#..#........##....##.....#..#.#...#..#.##.##....#.....#.#...........
..#......#.#....#.#.#....#.#...##...#..##..##..#.#...#.###...#.#...#..#.#..#.#.#..#.##.###.#....
..#.#.....#.....##..#.#.........###.#.##.............#.##....##.#....#..#.....#..###............
.###.........#.......#.#..###..#.#..##.#..#.#.......##...##.#.#.....#.............##....#.#.....
..##.......#............#...#.##...#..###.......##..#...#.#....#..#.#.......#...#..#............
...#.....#..##.###..#...##.#####..#...##.#.#.#.....#...........#...#......#.#....##..#.#..#...#.
..#..#..#..#.....#...........#.##..#........##.###.#....##..###......#..#......###...........#..
....#.##.###..#..#.##.......#...#.....#.#....#.........##.#....#.##....#......#....##..#.#...##.
...#..#..##.#......#..#.#....#...#.....#......###.......#..#.....##......#...#.#..#...#.#..#.#..
###...##..##.##..........#....#..#....##...#..........#..#....###.#..#.........#..#..#..#.#..#.#
..#.#.#..#.#............#.####.##.....#.#..#.......#..###...#...####....#.#.....#..#....#......#
...#..#..#...#..#..........#...#..#..##.....#.............#...#.#..#..#....#....#...##..##....#.
.#.##...#...........#.........##.....#.......###.#.##....#........#....##.#....#....##..#.......
.....##..#.#..#.....#......#....#....#..#..#.....#......#.###.#.#.##..........#....###.##..###..
...####...#...#...#.#....#.....#.....###....#...#....##.#.........#.....#...#....##..##..#.....#
..#.#..#..##....##.####.##....#.#......#.#.#.##...#.....##.#..#...#.#......#......##...#...#...#
#.#.##.....##........###...###.##..#...##.......#.#...#..#.......#.###.##.....#....#..#...#...#.
#..#..#....##.#.#.#..#.##......#.......#.#...............#........#....##.#..#...........##..#..
.#...#.........#.#..#.##.#.....#.#.#.....#..#.#..........###.......#....#...........#.#.........
..........##.........#.#.....#..#......##.....#.#.#....###......#..#.#.#.....#.....#.#.#........
...#.###..#..#...##..#.......#.........#...#.................#....#.#.#...........#.....###.##..
.##.......#..##...#.#.........#..##.....#.#...#....#.........#.#.##...#........#......###....#..
.#...##....##......###..........#................#..#.#.....#...#..#.##..#...#.....###..#...#..#
...###....#..#...#..#.#...#...##..#....#....#.....#......#..#..........#..#.....#.#......#.#..#.
...........#...#.....#....####........##.#.......##.....##.....#.##.#......##..#.#...##..##.....
.#.##..#...#........#.....##....#....##.....#.##.#.##..#.#..#......#...........#........#.#...#.
.....##..####.#....#....##.........#..###..###.#..##......#..#....#....#.#..#.#.....#.#..#...#..
.#..###.#...#.#....#.#....#.#....#.....##...#....##.....#...#.....#...........#........##...#...
......#..........#..#....#.##.#...#...#......#....#..#.#...#.......#..##..#..##.#.....#.#...#..#
...##..#......##..###.#...####.##......#...#.#.....#.#....##.................##.........##......
....#..#..#.....###..#...#.#......#..###..#.....#....##..#..#..###...#....###..#........####.#..
...#..........#...##...#..#.##.#...#..#......#...#....#..##.#.....#.##.#.#....#....##...##.#.#..
.###...##......#...#..##.......#......#.#...#.#...##...#..##......#.#...##.............#.#.#....
#.....##.......#.##..##.#...#..........#.#.##.#.#.#......#............#..#.....#.###....#.......
...#..#...##...#....#.......#...##......#...####..#.#..#..#...............#..##..##.###.#.....##
.#...#.##......#....##..#..###..##.#.#.....#..#.##.#......#..#.##..#.....#....#....##.#..#......
......#..#........#..###...##..###..#..#.##..#....#......#.....#...#.##...#...##............##..
#..........#................#.....##..#......#...#.#.....#.#..###..#......##........#.#.......#.
....#.##..#.#..............#..#...#.#.#.....##..#..##.##.##......#.......##....#.#.##....#....#.
...##.##.......#.#...#.#...#...#......##..###.#.#.#...#...##....##.......#.....#.#.##...###...#.
#.....###.#..#..#...#.....#.#.....#......##.##....#.....#..####....#..#...#...##..#.............
#......##..#.##...........##..#..##.#....#.##.#....####.#.##.#.......#........#..###......#.#..#
..#..#.#.............###...#....##.....##................##.....##...###..##.#.#.###............
......##.......#..........#.##.#..#.#.#.##...#.....#....#...#........#.##.#.#...#.##....#.....##
..#...##.....#..##...#....##.....#..........#....#.#..........#..#...#..##.....#..##...#....#..#
.#....#......#.##.#.#...#......#.......#.......####..#.#..##.....#.#...#.#..##.#....#####......#
..#..#.##.##.####.....#.....##....##..#.#..##.....#........#.............##...##.##...#.#..#....
..##..#.#.##.###.#.......#.#.....#....#....#..........#..#....#...#.##...##.............#.#...#.
..#........#.#.........#.........#..####...........#..##.....##................#....#....#..#...
.##.#..#....#.......#.###........##...#.........#.##......#..#...#.....#..#....#...#...###....##
.##......#.....#.##....#....#..#..#....#..##..##...#........##..###....#.#....#....##..#.#...#..
.####...#....##.#..#....#..##.............#..##.....#.#..##...#.#..#.##........###..#...#.##....
........##..##.##........##...#...#...##...##.#...#........##...####.#....#.....#...#.....#.#...
...........#.....#.#..###.....#..#..#..##...#..#....##........#....##..........###.#........#..#
...#....#..#...#..#...#.#...#........###.#...#....#.###..#....#....##....#..#..#..###.#...#....#
..#..#..#...#..#.....####....#..#.#...#..........#.#...#.#..##.#............#.....##.....#.#...#
#.#......#####..####...#......#..#.....#....#.#...##..#..#.#..........#..#..##.....#.#.#.##...#.
####..........#.#.......#...#.#.........#...#......##..............####.##.....#...##...#.##..##
....##..#..##.###...........#.#.......#...#.#....####.......#....#.##...#.#.##..##....#.......#.
.........#.#..#.###..#..#.......#....#.##...#...........#........#.#...#.....#......#.#..#.....#
.###..##.###.......#....#..........#..###.....#.#..##.##..#......#..#...#.#......#..#..##.##.#..
..#.........#....#..#..#....#.#...#...##.........#.#.........##..#...#...#.......#.#....##.....#
..#.....#.#.#...##.....#..........##.#.#......#....##.....#............#.....#....#.#..###.#..#.
...#...#....#..##.......#...#.#.......#....#..#..#.##..#..#.#.##....#....#..###.....#.#...#.....
.#.#...#....#.......#.....#......#...#......#............##......###.##....#.#...#............#.
....#......#....####..##...............#.#.......#.#.....#.#..#..#.##....#.##.###....#....#.#.#.
...#....#..#.....#......##.....#.#..#.#..#.##....#..#.#...##...##...#...#....#.##....##...#.##.#
.##...#.....#..#.#.#...#..#...##......#...#.....#..#.#..##...#...#...##....###.#.##......###.#..
.#.#.......#...#.....#.#.....###...#.....#....#....#.....................#....###...#...##..#...
.....#..#....###....#..##....#..##.......#..#..........#.##......####...#..#.#.##...#...#.......
#.#...#...#.....#...#..##...#.#....#..#.....##..#......#..#........#..###..#.#.#.......#....#...
.##.#......#.#....#....###..#..#.....##.##....#.#.....##....#..#....#..###...##......#....#....#
###....#..##.#...##....##....##.##..#.#......##.....#..##.#.###..........##....#......#...##.#..
..##.......##....###..#.#.#..#.#....#..###..#.#.........##.#.##......#..#...#...#....##..#...#..
............#...#..#.....###..##..#......#.#.#.#..##..#.......#.......###..##.##....#.#..#......
....#....##.#..........#........##..#..####.#..#..........#.#..#..#.##.#.#...##...#....#..#.#...
...#........#..##.#........#.#....#.#..###....#..#..#...#.#..#...#......##...##..........#......
..##...#....#......#.....#.#..##......##...#.#.#....#..#.#...#.#..#...#.#.#..#######.....#.....#
..#........#.....##....##.......#....##.......#......####....#.##........#............##.....###
.###...##.##......#...#.#....#.#.......#...##.#.#...#.###...#.###.#...##.#......#.....#......#..
.......#....#......##....#....##...##..#.......#..#.#...###...#....#...#......#...#...##.###....
#.........#....#....##.#........#.#.#.#....#.#...#....#........#.......#.#...#..#....#.#.##.#..#
...#......#.##.............#..#.#.###..#.#.##....#....#.#......###......####.#.#.........##.....
..##..#.....#......#.#.#.#..#.....##.###.....#.#...#...#.........#......#....#.....#.....#.##...
#.##..#..#.#...##.#..#..#...##.##.....#.#####.#......#.#......##..##.....#.##.#...#..#.###...#..
#..#.....###.##...#....##....#.#.#.....#......#...#....##.....#..........#.....#......####.#..##
#.......#..##.#..#.#.#.#.#...#.........#.......#.....#..#..#..#......##.#......#.#.#.##..###...#
...##.......#....#..#...........##..##................#...#.#..##......###.#...#.#.....#....#..#
..####......##..##..............##.....##.##.........#..#......#....#...#..#..#.#............#..
..#...##.#.##....#.##....#......#....##........##......#.......#.....###...#..##.#......#.......
...#..#....#...#.##.....#...##.#...#....##....#...#..#.#......##.#..#.......##...#.##..#.....#..
.#..#............##....#......#.##.#.#...#.......#...#....##..#......#..#.....#.....#.##...#....
...#..#...##..#..#...#....#.......#..#.......#...#...#...........#....#...####.......#.#......#.
.....#..#......#.......##...#.#.#..#............#..#....###...#...#.#..#...#.....#.....#..#.#...
Sea monster:
..................#.
#....##....##....###
.#..#..#..#..#..#...
.......###..#........#.#............##..............##..#...#...............##......#........#.#
..#...........#......#O..##..#...#..#.....##O...#.........#..#....#.#..##..#.....#..#.....O.....
....O#...OO...#OO...#OOO..O....OO#..#OO...#OOO##.#.#.........#..........O....OO....OO..#.OOO#...
.#.#.O#.O##O..O.#O..O....#.O.#O..O..O..O..O...#.......#....#.##.#...#.#..O..O..O.#O..O..O##....#
..#..##...........#...#.....#......#......#.#.........##.......##.#.#.#......###.#.#..#....#...#
#....#..................#..........#..#........#...#......#.......O#..##.#.#.#.##......#........
.#.##....##............#..#......#............#.O##..OO#.#.OO....OOO...#.#..#..##.#####........#
....#........##.#....#.......##..#..........#..#.O##O##O..O.#O.#O...#....#....#.....#.#.........
#......#......#.........#..#...#...#..##.##...##....##....#..#....#..............#.....#.......#
....#...##........#..............##..#...#.#.............#.........#............#.##.O#.#...##.#
.#......#..##.#...#..O.#.......#.#...#........O#.....#.#...#...#...O..#.OO#...OO....OOO....#....
.#.O#..#OO....OO....OOO..#.#O....OO#.#.OO....OOO....#...#..#.......#O#.O..O.#O#.O..O#.##.#..###.
....O##O..O#.O..O##O#.....#..O##O..O.#O..O..O..........#..........##...#....##.......#..#.......
.....#..#..#.........##.#............#...##..#####..##................#.##........#.#...#.#.....
.#.....##...............#.........###.....#...##....#.........#.#.##....#...#..##...#.#........#
#..#.....#..#....#......###...#....#..##.#.#..##O.#...#...####..#....#.....#............#.....##
.....#...#.......#.#...#....#.O#..#OO#...OO....OOO...#.........#............#.#...#.....#..##...
.#######.......#....#O....###..O#.O..O..O..O..O..#....#.....#..#.#....#..#.#..#.......###..#...#
..#O....OO....OO.#..OOO.....#.....#..#.#...#....#........#..#.###.......##..#..#............#...
....O..O..O..O..O..O#.....#.#....#...#..#.#..................##.#.##...O......#......##.........
....#.#.....##.........##....#..#...........#...#....O....OO....OO..#.OOO..#..####....#.#..##...
.#.....#.##.#............#........#...#..........#.#..O..O#.O..O..O..O.#.##.###...........#.....
..............#.....#.......#.........###...O..#...#.....#..##..#.....#....#.##......#.....#....
#.#....##.#.#..#..#..O####O.#..OO....OO.#..OOO.....#..#..#...##...........####............#....#
#..O....OO....OO....OOO##..O..O..O#.O.#O#.O.#...#.........#.#......#........#.#....#.#..##......
....O..O..O..O..O..O..#....#.............#....#................#.#.#.......#..##....#...#...##..
.#.................##.....#..#...........#.......##.##........#.O.#.###............#......#....#
...........#....##.#......................#...O..#.OO.##.OO....OOO..##.......#..#.##....#.#.#.#.
#..#.....##...........##......#.#..##..#..##...O..O..O..O##O#.O.###..#.......#.....#..#.###..#..
...#...###....#..#..##..##............#........#..#.......#...#.#....#...##..#.....#.#.##.......
#.#........#.#..#..#.#.#.#O...#.#..###..##..........#..#.........#....#.#.....#..#..#...O#....#.
...#....O#...OO.#..OO.#..OOO...............#....#.#...#..#...##.#.....O....OO#.#.OO#...OOO#.###.
#.#.###..O.#O..O..O..O..O.........#...#............#.....#O#....#...#..O..O..O#.O..O..O#...##...
..#..##.#.........#..#..#..#.#.......#..O...#OO..#.OO....OOO......#.....#..#........##....##...#
.#........###....#.#...........##.....#..O.#O..O..O.#O.#O......#.#....#.#.........#.....#..#...#
#.##......##.#.........#.#.....#.#.............#........#.#...#....#.......#.#.........#.#......
......#....###...##.##.....#............#....#....#.#..#.#................................###.#.
.##.#.#...#....#......O......#.#..#....#.....O............#....#....O..........####.......#.....
....O....OO.#..OO....OOO..#O..#.OO.#..OO.#..OOO#..O...#OO....OO#.#.OOO.........#..###.#.##.O...#
.....O.#O.#O.#O.#O#.O.......O..O##O..O.#O#.O.#..#..O..O..O..O..O#.O#.##..O#.##OO....OO..##OOO...
...#.#...#.......##.#.#..........##.#...#......#..##.......#.#....##....#.O..O..O..O..O..O..##..
..##.....#.#.....####.#.##.##..........#..........#.##...#..#........#.....##.#.........#....##.
.....#...#........#.......#........#......##.........##..#.....#........#.................#.....
.....#...#.##.#.#..#.......#..#..........#.#..##....#.#...#.#...#..O.....#....#.#..##...#...#...
.........#.#..#...#.#..##..#.#....####..##.....#.O..##OO...#OO....OOO.#....#...#..#....#..#.#..#
.#........#.#...#..#.O.#...............#..#.......O..O.#O#.O..O.#O.#..........#..#....###......#
...O....OO....OO.#..OOO..#....##.#...#...###........#.#...####......#...#.##..#..#...#.......#..
....O..O..O..O..O.#O....................#..#....#..........#.......##............#...#.#....###.
#...#.........#.......##..#......#..........#...#.....##..#.#..#..........#..#.#.....#.#.#......
.##........##....#.........##.#.#..#..#.........##......#.#...#...O.##.#........##.....#.#..#...
...#....#....#.....#...............#.#.#.#..O..#O....OO..#.OO#...OOO.##...#..##.................
#.........#........#.....#O.#.#OO#.##OO....OOO...O#.O..O#.O..O..O..##...#........#.#...##......#
.............##.##...#.....O..O#.O.#O..O#.O.........#..#...#........#..#.........#.......##.....
.###.#.#.#.....#..........#............##.......#...#..........###.............#..........####.#
......#....##.##...#..O....#.....#...#.#..#..##.....#.##......##.......#.....#.#...##...........
...#O...#OO...#OO....OOO#.....#..#....#......#..#......#...#.#...#..#.....#........#..#....#O.#.
#....O.#O..O.#O#.O..O#....#.......#...............#.##............#..O....O...#OO..#.OO#.#.OOO#.
#............#..#...#...#.#.##.......###..#...#....O...#OO..#.OO....OOO...#O##O..O..O..O..O.#..#
#.#...#......#...##..#.##..#.###.#........#.#...#..#O.#O..O#.O#.O..O.......#....#.#...#..##..#..
..#....#............#......##........#...#.....##...###.#....#..##.........#..#.#....#..........
......#.......#...#..##.......#....#..#..#.#......#..#........##..#.#.##........#..#...#..#...#.
...............###..O#....#.....#.....#....###......##....#........#....##.............#...##.#.
#.O#...OO#...OO....OOO......#.#.#......##.#..##..#...#..#.....................#.#.#.#..#..##.#.#
...O##O..O.#O.#O#.O...#....#..#.......#.................###....#.....#..#...........#.#.##..#..#
......#....#..##...........#.............###.......#..#.#.#....#.......#..#.....#.###......#....
.#.#......##.....#......#.#.##..####.....#.##...##.#..##.......#.....#..#....#.....#.O#......#..
#........#....#.#.#.....#....#...........O.#..#..............##...#O.#..OO..#.OO##.#OOO..#......
.........#...#.........O#...OO....OO#..#OOO.....#....#..###......#..O..O..O#.O..O.#O....#...###.
#..#.#............#...#.O..O#.O..O.#O..O#.....#..............##......#...#...##..........##..#..
..#.#..#..........#.#.....#..#..#...#....##...#..####....#....##.......#..#..#......#..#...#....
.#..#..#......#.#..#...#..#..#......##....#........#.#...#..#....#.....###........#.........##.#
#...#.#.....###...##..#O.......#..#........##...#.##..........#..#.#..#...#.##...#....#......#.#
..#..O##..OO....OO.##.OOO..#.....#.##............##..........O.............###.#.#.#...#...##...
......O.#O.#O.#O.#O..O#..#..#.#.#...##.#...O..##OO....OO..#.OOO....#...#.............#.........#
.#.........#....#....#...........#.#.....#..O.#O..O#.O.#O#.O...#.#....#.....#....#.#....#......#
##..###..#.#.......#...##.#.##.....................#....#......#.....#........#...#.........#...
.#.#.....#.........##.....#.#.O....#.###........#.#............#...#.#.........#........##...#..
.#.#......##O...#OO...#OO.##.OOO..##.#..........#..#.......#....#O.....#..#.#........#......#...
..#.##...#...O..O##O..O..O..O.#............#...O....OO...#OO..#.OOO#.........#..#.....#....#....
....#.###..#....#..#.#.######.......#..##.#.##.#O#.O.#O#.O..O..O....##..#........#..##.#....#...
.....#......#.#.#...#...##.##......#....###.......#..............#....#...........##...#.#......
#..##.##........#.........#..#..##.#....#.#....#...##.##...##........#.........#.......##..O..#.
.........#...#..#.#.......#....#......##.......#.#O###.....##.........#..O....OO....OO..#.OOO#..
...#...#..#.....#...............O...#OO##..OO....OOO#.##..#.#.#........#..O..O#.O..O..O..O##....
..##...............#....##....##.O#.O..O.#O#.O..O.....###.##..#....#...#...#....###...#.....###.
.#.....#.#..#.......O.#....##........#..........#..........#.........#.#..#....####.#...#...#.##
..O....OO....OO#...OOO.....#..#...##...#.......##.......#.##.....#.#.#..#..#.#.#.....#..........
###O..O.#O..O#.O..O....#.......#.#...#.....##...##...........#....#.....O.#...#.#.....#.#...#..#
....#...##..............##.....###..#.....#.O.###.#...O....OO.###OO.#..OOO......######....#.#...
.......#######..##.##....#O....OO.#..OO....OOO........#O..O..O##O..O.#O..#..#..#..#...#.....#...
#......#...###....#..##...#O#.O..O..O#.O.#O...#.....#.#........#....##...#..##......#...#.#...#.
..#....##.#..#.......#....#....#.#..#.#...#....#.............###......#.......#.#....#......#...
#.....#...#.#.....#....#.#.##...........##...#...#..#....#.......##....#.#......#...............
...#.#...#....##....##....##.....#.........#.............#....##...#....##..#...#...####........
.#......#......#............##.#...###......#.#...#...###..#........#.#......#....#...#.#.....#.
......###...#..##.....#....#....#.#.#.###...#...###.#......#.....#.....#......##...##...........
1989
